Age	Gender	Race	Continent	Sushi	Alligator	FrogLegs	Caviar	Fugu	Lutefisk
21	Other	n/a	n/a	1	1	1	0	0	0
22	Female	White	Europe	0	0	0	1	0	0
29	Male	White	Oceania	1	0	0	0	0	0
21	Female	White	North America	1	0	0	0	0	0
38	Male	White	Africa	1	0	0	1	0	0
19	Female	Black or African American	North America	0	0	0	0	0	0
29	Male	White	North America	1	1	1	1	0	0
31	Female	White	North America	0	0	0	0	0	0
25	Female	Asian	North America	1	0	1	0	0	0
40	Female	White	North America	1	0	1	0	0	0
36	Male	White	North America	1	1	1	1	0	0
15	Other	White	North America	1	0	0	0	0	0
41	Female	White	North America	1	0	1	1	0	1
26	Female	n/a	North America	1	0	1	0	0	0
23	Other	White	Europe	1	0	0	1	0	1
23	Male	White	North America	1	0	0	0	0	0
31	Female	White	Europe	1	0	0	0	0	0
35	Male	White	Europe	1	0	0	0	0	0
25	Male	White	North America	1	1	0	0	0	0
50	Male	White	North America	1	1	1	0	0	1
19	Other	White	North America	1	0	0	0	0	0
16	Female	Asian	North America	1	0	1	0	0	0
31	Female	White	North America	1	0	0	0	0	0
22	Female	White	North America	1	0	0	0	0	0
23	Male	White	North America	1	0	0	1	0	1
18	Other	Asian	Oceania	1	1	0	0	1	0
32	Female	Two or More Races	North America	1	1	1	1	0	0
20	Female	Asian	North America	1	0	0	0	0	0
13	Male	Two or More Races	North America	1	0	0	0	0	0
17	Female	Asian	North America	1	0	0	1	0	0
41	Female	Two or More Races	North America	1	0	0	0	0	0
34	Female	White	North America	1	0	0	0	0	0
44	Female	White	North America	1	0	1	1	0	0
30	Female	White	North America	1	1	1	1	0	0
15	Female	White	North America	1	0	0	0	0	0
27	Female	White	North America	1	1	1	0	0	0
40	Other	n/a	n/a	0	1	0	0	0	1
26	Female	White	North America	1	0	0	1	0	0
33	Male	White	Europe	1	1	1	1	0	0
30	Male	White	North America	1	0	0	1	0	0
24	Male	White	North America	1	0	0	0	0	0
22	Female	White	Europe	1	1	1	1	0	0
19	Other	Asian	North America	1	0	0	0	0	0
18	Female	White	North America	0	0	0	0	0	0
24	Female	White	North America	1	0	0	1	0	0
21	Male	White	Europe	1	0	1	1	0	0
30	Female	Asian	North America	1	0	0	1	0	0
31	Female	White	Europe	1	0	0	0	0	0
26	Male	White	North America	1	0	0	0	0	0
25	Female	Two or More Races	Oceania	1	1	0	1	0	0
28	Female	n/a	North America	1	0	0	0	0	0
23	Female	White	North America	1	1	1	1	0	0
28	Male	White	Europe	1	0	1	0	0	0
23	Male	Two or More Races	Asia	1	0	0	0	0	0
18	Female	White	Asia	0	0	0	0	0	0
22	Female	White	North America	0	0	0	0	0	0
26	Female	White	North America	1	1	1	0	0	0
21	Female	Two or More Races	North America	1	1	1	1	0	0
22	Female	White	Europe	0	0	0	0	0	0
33	Female	White	North America	1	1	1	1	0	0
24	Female	Asian	Europe	1	0	1	0	0	0
21	Female	White	North America	1	0	1	0	0	0
35	Female	White	Europe	1	0	0	0	0	0
27	Male	White	North America	1	0	1	0	0	0
19	Male	White	North America	1	1	1	1	0	0
33	Male	White	Europe	1	0	0	0	0	0
20	Female	Asian	North America	1	1	0	1	0	0
16	Male	White	South America	1	1	0	0	0	0
17	Other	Two or More Races	North America	1	0	0	1	0	0
16	Male	White	North America	1	0	0	1	0	0
15	Female	n/a	North America	1	1	0	0	0	0
18	Female	Asian	North America	1	1	1	1	0	0
44	Female	White	North America	1	1	1	0	0	0
28	Female	White	North America	1	0	0	1	0	0
16	Male	White	North America	1	0	0	0	0	0
16	Male	White	North America	0	0	0	0	0	0
27	Female	White	North America	1	1	1	1	0	0
38	Female	Asian	Europe	0	0	0	0	0	0
14	Other	White	Europe	0	0	0	0	0	0
23	Female	White	North America	1	0	1	1	0	0
19	Other	Asian	North America	1	0	0	0	0	0
35	Male	Asian	North America	1	1	1	1	0	0
13	Male	White	North America	0	0	0	0	0	0
25	Female	White	North America	1	0	0	0	0	0
32	Female	White	North America	1	1	1	1	0	0
23	Female	n/a	Asia	1	0	0	1	0	0
22	Male	White	North America	0	0	0	1	0	0
23	Female	White	Europe	1	0	0	0	0	0
26	Male	Black or African American	Europe	1	0	0	1	0	0
29	Male	White	North America	1	0	1	1	0	0
23	Other	Two or More Races	North America	1	1	0	1	0	0
32	Other	n/a	n/a	0	1	1	0	0	0
28	Male	White	North America	1	0	0	0	0	0
19	Male	White	Europe	1	1	1	1	0	0
29	Female	White	North America	1	0	0	0	0	0
26	Male	White	Europe	1	0	0	1	0	1
19	Male	n/a	North America	0	0	0	0	0	0
28	Female	White	North America	1	0	0	0	0	0
17	Male	White	North America	0	0	0	0	0	0
27	Female	White	Europe	0	0	0	0	0	0
19	Male	White	North America	1	1	1	1	0	0
24	Male	White	North America	1	1	1	1	1	1
16	Female	Asian	North America	1	0	1	1	0	0
15	Male	White	Europe	1	0	0	0	0	0
37	Female	White	North America	1	0	0	1	0	0
16	Male	White	Europe	1	0	0	1	0	0
40	Male	White	North America	1	0	0	0	0	0
21	Male	White	Europe	1	0	1	0	0	0
23	Female	Asian	North America	1	0	0	0	0	0
24	Female	White	Oceania	1	0	0	1	0	0
22	Female	White	Europe	1	0	0	1	0	0
18	Female	Two or More Races	South America	0	1	0	1	0	0
26	Male	White	North America	1	0	0	0	0	0
22	Female	Asian	North America	1	0	0	0	0	0
41	Female	White	North America	1	0	0	0	0	0
22	Female	White	Europe	0	0	0	0	0	0
25	Female	White	North America	1	1	1	1	0	0
16	Male	Asian	Asia	0	0	0	0	0	0
19	Male	White	North America	1	0	0	1	0	0
24	Male	White	North America	1	1	0	0	0	0
25	Male	n/a	Europe	1	0	0	0	0	0
35	Male	White	North America	1	1	1	1	0	0
27	Female	Asian	North America	1	1	1	0	0	0
25	Female	White	Oceania	1	0	0	0	0	0
38	Female	White	North America	1	1	1	1	0	0
18	Male	White	Oceania	0	0	0	0	0	0
30	Male	White	North America	1	0	0	0	0	0
34	Female	White	Europe	1	1	1	0	0	0
16	Male	White	South America	1	0	0	0	0	0
20	Female	n/a	North America	1	0	1	0	0	0
44	Female	White	Europe	1	0	0	1	0	0
20	Male	White	North America	1	0	0	1	0	0
22	Male	White	Europe	1	0	1	1	1	1
15	Male	White	North America	1	0	0	0	0	1
14	Male	White	North America	1	1	1	0	0	0
24	Female	Asian	North America	1	0	0	0	0	0
16	Female	n/a	South America	1	0	0	1	0	0
24	Male	White	North America	1	0	0	0	0	0
17	Male	n/a	Europe	0	0	0	0	0	0
40	Male	White	North America	1	1	1	0	0	0
19	Female	White	North America	0	0	0	0	0	0
16	Female	White	North America	1	0	0	0	0	0
25	Male	White	Europe	0	0	0	0	0	0
29	Female	White	North America	1	1	1	1	0	0
20	Other	n/a	North America	1	0	0	0	0	0
53	Female	White	North America	1	0	0	1	0	1
28	Female	White	Oceania	1	0	0	1	0	0
47	Female	White	Europe	1	1	1	1	0	0
20	Female	White	Europe	1	0	0	0	0	0
22	Male	White	n/a	1	1	1	0	0	0
19	Female	White	North America	0	0	1	0	0	0
23	Female	White	North America	1	0	0	0	0	0
33	Female	White	North America	1	1	0	0	0	0
23	Other	n/a	n/a	1	0	0	1	0	0
21	Other	White	Oceania	1	0	1	1	0	0
35	Male	White	North America	1	1	1	1	1	0
20	Male	White	North America	1	1	1	0	0	0
26	Male	White	North America	1	1	0	1	0	0
43	Male	n/a	North America	1	0	0	1	0	0
17	Female	White	Asia	1	0	0	0	0	0
23	Male	White	North America	1	0	0	0	0	0
31	Female	White	North America	1	0	0	0	0	0
18	Female	Black or African American	North America	1	0	0	0	0	0
21	Male	White	Europe	1	0	0	1	0	0
26	Female	White	Europe	1	0	0	1	0	1
19	Male	White	Europe	1	1	1	0	0	0
32	Female	Asian	Europe	1	1	0	1	0	0
21	Female	White	North America	1	0	0	0	0	0
14	Other	White	North America	0	0	0	0	0	0
29	Female	White	North America	0	0	0	0	0	0
20	Male	White	Europe	0	0	0	0	0	0
38	Female	White	North America	1	0	0	0	0	0
32	Other	White	Europe	1	0	1	0	0	0
22	Female	White	North America	0	0	0	0	0	0
14	Other	n/a	n/a	0	0	0	0	0	0
25	Female	White	Europe	1	0	0	0	0	0
33	Male	White	North America	1	1	1	1	0	0
23	Female	White	North America	1	0	0	0	0	0
14	Other	White	Europe	1	0	0	0	0	0
20	Female	White	North America	1	0	0	0	0	0
20	Male	White	North America	1	0	0	0	0	0
24	Female	White	Europe	1	0	1	1	0	0
